%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72709.320,297.066,354.343,129.869,0.025,0.001,5.000
72709.320,297.066,354.343,130.029,-0.007,0.001,5.000
72713.351,297.065,354.422,129.709,-0.007,0.001,5.000
72713.351,297.066,354.343,129.869,-0.007,0.001,5.000
72709.320,297.069,354.027,129.869,-0.040,0.001,5.000
72717.383,297.066,354.264,129.709,-0.007,-0.010,5.000
72717.383,297.065,354.185,129.549,-0.024,0.001,5.000
72709.320,297.063,354.106,130.189,-0.007,0.011,5.000
72713.351,297.066,354.185,130.029,-0.007,0.001,5.000
72713.351,297.066,354.027,130.029,-0.007,0.011,5.000
72709.320,297.063,354.027,130.029,-0.007,0.001,5.000
72713.351,297.065,354.027,130.189,0.009,0.001,5.000
72713.351,297.061,354.106,130.189,0.025,0.011,5.000
72717.383,297.066,353.948,130.349,-0.024,-0.010,5.000
72717.383,297.063,354.027,130.349,0.009,-0.010,5.000
72713.351,297.066,354.106,130.669,-0.007,-0.021,5.000
72717.383,297.065,354.106,130.509,0.025,-0.010,5.000
72721.414,297.068,353.948,130.669,0.025,-0.021,5.000
72713.351,297.065,353.948,130.669,-0.007,0.001,5.000
72709.320,297.065,354.106,130.829,0.009,-0.010,5.000
72713.351,297.065,354.027,130.989,-0.024,-0.010,5.000
72709.320,297.063,353.948,131.310,-0.007,-0.021,5.000
72713.351,297.061,354.185,131.310,-0.040,0.011,5.000
72713.351,297.065,353.948,131.630,-0.024,-0.021,5.000
72713.351,297.063,354.106,131.630,-0.007,-0.010,5.000
72713.351,297.061,354.027,131.790,0.009,0.011,5.000
72713.351,297.066,354.106,131.950,0.009,0.011,5.000
72709.320,297.063,354.027,132.110,-0.007,0.001,5.000
72713.351,297.063,354.027,132.110,-0.007,0.001,5.000
72717.383,297.065,354.185,132.270,-0.040,0.001,5.000
72721.414,297.065,354.264,132.430,-0.007,-0.021,5.000
72713.351,297.065,354.264,132.430,-0.007,-0.010,5.000
72709.320,297.061,354.185,132.590,-0.024,0.011,5.000
72717.383,297.065,354.343,132.430,-0.007,-0.010,5.000
72713.351,297.061,354.422,132.910,0.025,-0.010,5.000
72713.351,297.065,354.185,132.910,0.009,0.001,5.000
72717.383,297.066,354.422,133.071,-0.024,0.001,5.000
72709.320,297.068,354.422,133.231,0.009,0.001,5.000
72709.320,297.061,354.501,133.071,-0.007,-0.021,5.000
72713.351,297.063,354.659,133.551,-0.007,0.011,5.000
72713.351,297.063,354.501,133.231,-0.024,-0.010,5.000
72709.320,297.066,354.659,133.551,-0.024,0.001,5.000
72709.320,297.061,354.580,133.551,-0.024,0.033,5.000
72705.289,297.060,354.739,133.711,-0.007,0.001,5.000
72705.289,297.061,354.739,133.551,0.009,0.001,5.000
72705.289,297.061,354.739,133.551,0.009,0.011,5.000
72705.289,297.063,354.818,133.871,-0.007,0.001,5.000
72705.289,297.060,354.818,133.871,0.025,-0.010,5.000
72709.320,297.061,354.897,133.711,0.009,0.001,5.000
72709.320,297.063,354.818,133.871,-0.007,0.001,5.000
72713.351,297.063,354.897,134.191,0.025,0.011,5.000
72709.320,297.065,354.976,134.031,0.009,0.001,5.000
72709.320,297.063,354.897,134.191,-0.007,0.001,5.000
72713.351,297.060,355.134,134.351,0.009,0.001,5.000
72717.383,297.061,354.976,133.871,0.009,0.001,5.000
72713.351,297.060,354.976,134.191,-0.024,0.011,5.000
72713.351,297.063,354.897,134.031,0.009,0.001,5.000
72713.351,297.063,354.976,134.351,0.009,0.001,5.000
72709.320,297.061,354.976,134.511,-0.007,-0.010,5.000
72717.383,297.061,354.976,134.351,-0.007,-0.021,5.000
72717.383,297.063,354.976,134.511,0.025,0.001,5.000
72713.351,297.063,355.055,134.351,-0.007,-0.010,5.000
72717.383,297.061,355.055,134.511,0.009,0.022,5.000
72713.351,297.060,354.976,134.351,-0.007,0.011,5.000
72709.320,297.060,355.134,134.511,0.009,-0.010,5.000
72713.351,297.060,354.897,134.511,-0.007,-0.010,5.000
72713.351,297.061,354.976,134.672,0.009,0.001,5.000
72717.383,297.063,355.055,134.672,-0.024,0.001,5.000
72725.445,297.061,354.976,134.832,-0.007,0.022,5.000
72721.414,297.061,355.134,134.672,-0.007,0.001,5.000
72717.383,297.061,354.976,134.672,-0.007,0.022,5.000
72721.414,297.063,355.055,134.672,0.009,-0.010,5.000
72721.414,297.065,355.055,134.511,0.042,0.011,5.000
72721.414,297.065,354.976,134.511,-0.007,0.033,5.000
72721.414,297.066,354.897,134.992,0.009,0.011,5.000
72717.383,297.063,354.818,134.832,-0.024,-0.010,5.000
72717.383,297.065,355.055,134.832,0.009,-0.010,5.000
72713.351,297.065,354.976,134.672,-0.007,-0.010,5.000
72713.351,297.063,354.818,134.992,0.009,0.011,5.000
72713.351,297.065,354.739,134.832,0.025,0.011,5.000
72717.383,297.061,354.818,134.672,-0.007,-0.021,5.000
72709.320,297.065,354.818,134.672,-0.007,0.011,5.000
72721.414,297.063,354.818,134.832,-0.024,0.001,5.000
72717.383,297.063,354.818,134.832,-0.007,-0.010,5.000
72717.383,297.061,354.818,134.832,0.009,0.001,5.000
72709.320,297.063,354.818,134.672,-0.007,0.001,5.000
72713.351,297.061,354.818,134.511,0.009,-0.010,5.000
72713.351,297.061,354.739,134.351,0.025,-0.010,5.000
72717.383,297.061,354.818,134.191,0.009,0.001,5.000
72713.351,297.060,354.897,134.191,0.025,-0.010,5.000
72713.351,297.065,354.897,134.191,0.009,-0.010,5.000
72713.351,297.065,354.897,134.351,-0.007,0.011,5.000
72725.445,297.061,354.818,134.191,-0.007,0.011,5.000
72713.351,297.060,354.739,133.871,0.009,0.001,5.000
72717.383,297.061,354.739,133.871,0.009,0.001,5.000
72725.445,297.058,354.739,134.031,-0.007,-0.010,5.000
72713.351,297.061,354.818,133.711,-0.007,0.001,5.000
72717.383,297.060,354.897,133.871,-0.007,-0.010,5.000
72721.414,297.060,354.739,133.551,0.025,0.001,5.000
72713.351,297.063,354.897,133.711,-0.007,-0.010,5.000
72721.414,297.065,354.818,133.391,-0.024,0.001,5.000
72713.351,297.063,354.818,133.391,0.009,-0.010,5.000
72721.414,297.061,354.897,133.551,0.025,0.011,5.000
72725.445,297.061,354.897,133.071,-0.024,0.001,5.000
72721.414,297.065,354.897,133.551,-0.024,0.001,5.000
72713.351,297.066,355.055,133.231,0.009,0.001,5.000
72713.351,297.060,355.055,133.231,-0.024,0.001,5.000
72721.414,297.061,354.976,133.231,0.025,-0.010,5.000
72713.351,297.066,354.976,133.231,-0.024,0.001,5.000
72713.351,297.063,355.055,133.071,-0.007,0.001,5.000
72717.383,297.063,355.055,133.071,-0.007,0.001,5.000
72709.320,297.066,355.134,133.391,-0.007,0.011,5.000
72717.383,297.066,355.055,133.391,0.009,0.001,5.000
72717.383,297.063,355.055,133.391,-0.007,-0.010,5.000
72713.351,297.065,355.134,133.071,-0.007,0.001,5.000
72713.351,297.066,355.055,133.391,-0.024,0.001,5.000
72713.351,297.066,355.055,133.231,-0.007,0.001,5.000
72713.351,297.066,355.134,133.231,-0.007,0.001,5.000
72717.383,297.065,355.055,133.391,-0.007,0.011,5.000
72709.320,297.068,355.134,133.391,-0.007,0.011,5.000
72709.320,297.065,355.134,133.391,0.009,0.011,5.000
72709.320,297.068,355.055,133.551,0.025,0.001,5.000
72713.351,297.065,355.134,133.391,-0.007,0.011,5.000
72713.351,297.065,355.134,133.711,-0.024,-0.010,5.000
72713.351,297.066,355.213,133.871,0.009,0.001,5.000
72705.289,297.066,355.134,133.871,0.025,0.022,5.000
72717.383,297.065,355.134,133.871,0.009,-0.010,5.000
72709.320,297.066,355.055,133.711,0.009,-0.010,5.000
72713.351,297.061,355.213,133.871,-0.007,0.011,5.000
72713.351,297.063,355.134,133.871,-0.007,-0.010,5.000
72709.320,297.066,354.976,133.711,-0.007,-0.010,5.000
72709.320,297.063,355.134,133.871,-0.007,-0.010,5.000
72717.383,297.063,355.055,133.711,0.009,0.001,5.000
72713.351,297.065,355.134,133.711,-0.007,0.001,5.000
72709.320,297.065,355.055,133.871,-0.007,0.001,5.000
72709.320,297.063,355.134,133.711,0.025,0.001,5.000
72713.351,297.063,355.134,133.711,0.025,0.011,5.000
72717.383,297.063,355.055,133.711,0.009,-0.010,5.000
72717.383,297.065,355.055,133.871,-0.007,0.022,5.000
72713.351,297.063,355.055,133.551,0.009,0.001,5.000
72709.320,297.063,354.976,133.391,-0.007,0.001,5.000
72717.383,297.061,355.055,133.391,-0.007,0.011,5.000
